hrsinchphenoage	lin2016blood_99cpgs	yingdamage	yingadaptage	hannum2013blood	yingcausage	horvath2018	vidal-bralo2016blood	lin2016blood_3cpgs	zhangenclock2019	phenoage2018	dec2023encen40	horvath2018	horvath2013_shrunken	horvath2013	han2020blood	prob100
8.921303441845765	9.319680305244763	14.145861588243804	30.022756827922535	9.553762977014987	9.0295284234648	5.1793782454781265	8.070110193999998	9.974336082899992	13.45565003702351	8.325785718016988	12.188715495687507	5.1793782454781265	8.743938626795831	3.849813789490579	49.4594581587	0.0
10.089089959653728	13.403853797082192	19.201592195555037	22.3517476257133	9.399889205446996	12.315625668213304	6.405532540647602	9.6715162765	10.901984901099993	13.627496465151573	12.02856176696535	11.041403490129547	6.47847206064244	9.37339571253907	6.376868835825444	49.491629300015	5.0
10.645869046760144	16.118082044657417	42.70254964752763	38.69609297654222	10.080021896639995	14.644510033952571	7.565043251468968	11.091675439499994	12.594324100800002	13.598012121683304	15.110532667886933	10.384977419754023	7.54310222134189	10.51558687028863	8.801641655514736	49.562872596685	10.0
11.380036489395017	18.37298310468206	66.66856378220638	65.94292350833891	11.003254826378004	19.045610427340687	8.860739368866511	12.278169903750005	14.940860894850001	13.440315755225978	15.444570110679827	10.123077792567223	8.727567402017218	11.799829345101934	9.969917986806266	49.528550539585	15.000000000000002
12.612344028164628	18.962046027192642	93.70728802039977	96.75880599193354	12.330369539820005	19.49889060394588	9.674968145262977	13.368098453999998	18.22955591459999	13.743482116548229	19.258531890798007	9.657564069446536	9.665882425656708	12.350786784602409	10.53096489006635	49.747915275365	20.0
13.179848986961861	21.072636872471286	119.5760441580095	124.3661308595999	14.447701648907497	22.781088000796565	11.380517596029145	13.992800034499997	19.373249687700003	13.868775808138338	19.837114333728174	8.74790807682729	11.06137133391426	12.590782848455646	12.151879837903468	49.957968601765	25.0
13.900842665597658	21.166582571070204	143.88836976033042	154.88472189499922	15.475642144437996	24.69388944172985	13.57505025127751	15.216644581999997	21.934891564000004	14.144397015407563	20.19626743631299	9.442859354949302	12.083024988072186	13.356170074028496	13.027926050712127	49.870348956135004	30.000000000000004
13.663368811365604	22.32871928736987	168.23829282696644	185.39026812922003	16.954617693147	25.05884806871645	13.925989364075864	15.970339179500005	25.499833504999998	14.028015540788687	22.53012158052256	8.625368316222712	14.608833404790943	13.82745372676839	13.156263060480466	49.680037755955	35.0
13.849879983830942	23.304261758490526	195.47843521141127	213.2451776297927	18.57496176625	25.21701971891171	14.825532299754443	17.789811621500004	30.679075458700005	14.160230128314897	20.920844601682507	9.416476711631333	15.769434045336363	13.713736166086786	14.296909380191806	50.001515673425004	40.0
13.284152395909675	25.464766025681083	220.6109903412343	242.84833709862656	20.340169019589	26.96585704696927	16.717568624001245	18.319778354999997	33.2884590865	13.889352013536804	21.058697198600832	9.9976694941003	16.701163571628562	13.933413767761959	13.605201639043269	49.82645747243	45.0
14.368600679357733	25.896314498492973	245.4330177013656	272.863407626108	21.935391051643002	27.86608890876674	18.614840248322924	19.410207151000005	36.073036566000006	13.994374913548391	23.513717087457984	10.159525804090158	18.896268849775254	14.022711446698672	16.121691456802715	50.070432190365	50.0
14.14040197981231	26.970271142828906	269.87824195291375	300.8922335655407	25.673586273969995	29.887042275555302	20.360112936347623	20.7776497575	38.38749385475	14.320851585128423	21.71946103939876	9.998367133087346	19.482817672341444	14.460013966580622	15.123922239919153	49.917285260214996	55.00000000000001
14.075293625971199	27.311912624022604	296.68291635306554	332.1352455768198	28.78187019701	30.877033469331188	21.91881540659243	22.300565296000006	41.931967359	14.487522155677446	22.835505510875173	10.184809925160398	21.574327324866548	14.807933949926912	16.180550720004803	50.31691795921	60.00000000000001
13.823507399658439	28.61625920390286	320.03452173351127	359.0007525417609	29.596893920764998	31.03398039903421	23.320920012112033	23.138781722000004	45.83	14.521375928522538	22.03085781244156	11.951618439834952	23.73781632795281	15.540611498997308	15.551911199038837	50.1064822585	65.0
13.928158787615484	27.826379234762392	342.11942840569657	388.2237557521687	33.4900950857	31.04172434883608	25.40625326153294	25.450484342500005	49.83	14.694878665515294	20.640542618165455	11.95862906512815	25.50974712346453	14.765164438283836	15.571567423205359	50.430942572975	70.0
12.78200837934246	28.736106323102405	372.08470661156497	417.5307686362745	35.869364578755	31.62067245648951	27.430220331684446	26.3089166475	53.83	14.09437790911506	20.79867898961585	12.487989939256256	26.421983434974578	16.022660896401142	16.62119879704766	50.411448819937505	75.0
12.866448666534765	30.176278263165177	396.45489551709943	448.8020589200603	39.37236824539	33.11679666993544	29.210723281240615	27.1358963	55.13296435345	14.039975747828933	20.835872727056604	13.549884209439217	29.932162502693355	14.377673942923657	15.529523371611923	50.16296414854	80.0
12.72372008333884	31.25327341495094	422.79096025430687	476.4896945113738	41.6633070127	32.6053085200287	32.062570703951764	28.700000000000003	56.83	14.805883854682172	17.172275883387087	14.547619490417194	32.060479351152686	14.709289602402823	16.06421922087037	50.4634174505	85.00000000000001
11.556353586138322	33.893197928758994	446.5989115290034	504.37107955295	45.1765294825	35.93033531004171	33.900561390112316	30.700000000000003	58.4854576915	14.910391366910083	17.11145543821405	15.41579482621335	34.56470722702467	14.963612507127113	17.26348376011486	50.499318351965	90.0
