hrsinchphenoage	lin2016blood_99cpgs	yingdamage	yingadaptage	hannum2013blood	yingcausage	horvath2018	vidal-bralo2016blood	lin2016blood_3cpgs	zhangenclock2019	phenoage2018	dec2023encen40	horvath2018	horvath2013_shrunken	horvath2013	han2020blood	prob100
0.2621653202654989	-0.10591955863353553	-1.4221028352561267	-4.756319253093944	0.34912170732292125	0.2823047738370823	0.6305945985546773	0.265649447409103	-0.14085627506305887	-0.3166946345247419	0.3976997955100423	0.04897832694295057	0.6305945985546773	0.2631186935117732	0.7895939405776816	-11.13375265763941	0.0
0.31840303768195977	0.0015929631374257402	-1.416520948037863	-4.497916322332109	0.4156850838029489	0.36373825896741896	0.66034856083837	0.24736527106795392	-0.1189679514295292	-0.3041192859464421	0.3896188036945071	0.15651817859677142	0.6602672351853284	0.3277579412575552	0.7818687487705869	-11.144211334433734	5.0
0.3722245676796859	0.06859481108392684	-1.4644409121167716	-4.256383815078814	0.46308190778687597	0.4146084989049281	0.6797087660496559	0.2224959941458785	-0.06801309598244698	-0.29344214878821195	0.37672712606988656	0.26193976283480747	0.6824410877009066	0.3773464671462258	0.7746444227893186	-11.15936532768761	10.0
0.38995607041596847	0.18034363878135862	-1.4880237500211302	-4.0394023785305615	0.5016474855720738	0.4765460100566373	0.6959688108114879	0.19142333526544697	-0.05988485230850871	-0.28598890613295547	0.3513303001162513	0.3432225854742097	0.688555821409818	0.4248938825595734	0.7488619506586359	-11.177163519135895	15.000000000000002
0.43215609636318963	0.22996356444021315	-1.5873015959225252	-3.7752220431670915	0.5383589244437628	0.4947555785909965	0.6963230686964186	0.19000215389191066	-0.0014300499080719398	-0.2690635920707103	0.3411188713204514	0.4106091624722916	0.6956847937427504	0.4393778365458916	0.7169978995589328	-11.187761286136896	20.0
0.419846890174821	0.2951983265466226	-1.620860221391855	-3.6786227643462404	0.5594273880283421	0.4818669048951576	0.6868849868593745	0.1790949852365198	0.021894034894824776	-0.26511942358751783	0.3569653181546568	0.48248381892458836	0.6848842794264536	0.4511258392911245	0.7138089377326622	-11.199629252682419	25.0
0.44065294666119437	0.2858422551150853	-1.8072313362032402	-3.3462826858904418	0.5792215221463555	0.45392432312508557	0.6699300529820431	0.18185695416316006	0.0014746156710416791	-0.25761595469777543	0.2504103382396151	0.5311796502939835	0.6886513652554158	0.46628563264603273	0.6533580540895702	-11.209495734505802	30.000000000000004
0.41428978697823926	0.3314619915747894	-2.066928217992675	-3.1603502269148036	0.5869961316255885	0.4131520221875692	0.6606143617695143	0.13879342736929878	0.018056698183483433	-0.2519084293468761	0.18735513417066108	0.5471398895690169	0.6613356279667117	0.46320807053563595	0.5968538254093139	-11.228078554115246	35.0
0.4076441267924248	0.34974205277767	-2.2802280575886407	-3.0381496860954043	0.5687303919390313	0.3736419600515013	0.6345042666626031	0.13899750472720862	-0.019124486468145463	-0.24507850003107579	0.12318277033413572	0.5663586105617333	0.6216723530870978	0.47908540451103365	0.5540482726323517	-11.24374344692838	40.0
0.34681944050075453	0.3404006347680236	-2.4663067861387886	-2.9092699140380236	0.55176578245128	0.2806401551181349	0.5821051126431516	0.13551787595049614	0.06109944391831357	-0.2478482485119371	-0.006516127651923664	0.5788683691378339	0.5791221561070178	0.41550923812226526	0.5256844502725098	-11.253286307785759	45.0
