hrsinchphenoage	lin2016blood_99cpgs	yingdamage	yingadaptage	hannum2013blood	dec2023encen100	yingcausage	horvath2018	vidal-bralo2016blood	lin2016blood_3cpgs	zhangenclock2019	phenoage2018	dec2023encen40	prob100
8.47970117799657	9.801747462675142	15.513364686904623	28.444240291697156	9.496267148800001	49.27766507586951	8.177257243961364	49.32127916106195	8.070110193999998	9.974336082899992	13.45565003702351	7.8053755398780496	12.283197711209947	0.0
8.250808484519116	9.095904366237487	15.310875463900544	26.949438779541367	9.117305932404992	49.33831822665741	7.136508259159481	49.365369286415685	8.171826397500002	10.016839068900012	13.110308297233864	7.599142333515774	11.476237625503583	5.0
7.8612047837328145	9.698709037625964	15.79378869030657	26.76928313060006	8.144161561407017	49.33927574669833	6.415066431094441	49.3662538494664	8.099440061749998	9.596148653150006	12.895707428575292	8.072037955131833	10.522144903374723	10.0
7.57080880313314	9.444065443974615	16.157008744060903	25.573092830892847	7.442914989015009	49.47624979610831	5.807212926373918	49.4181746693939	8.668347148499993	9.37368831525	12.363508875049206	8.01208649975209	10.205366007774131	15.000000000000002
7.514161983772038	9.175231733708383	17.16088153040178	23.694710015276144	6.903017115333515	49.68363906069775	5.767709158186694	49.45715135811413	8.171193868	8.989377870049996	12.228312782771631	7.583180412530421	9.121683016258984	20.0
7.223637065145013	8.534747727666527	18.576577061181013	24.047908752464025	6.56726352860349	49.96983174791099	5.701912314735818	49.52539409036024	8.714742444999999	9.121108684650011	11.897008128624606	7.804981941308117	8.12662438819114	25.0
6.923241430407341	8.293735929581526	19.697181684255895	23.300896900661087	6.3358273768500055	50.23691734525666	5.655420170904215	49.525696590764205	9.0031827985	9.118757797249991	11.59560069062027	8.153390033721003	7.246108240278204	30.000000000000004
6.738975377146428	8.120662408640289	20.65613464432238	22.521395145617078	6.337580867382002	50.58473125225561	6.178964903497654	49.590218072894274	8.845906833499999	9.513290416249998	11.256306075999156	8.820322586912436	6.884347652734476	35.0
7.692040077550956	8.305320044638027	21.7307609296048	21.04408799005415	6.144885328587996	50.41169661630309	6.860683102790993	49.577215571891145	9.000149091999997	9.279113799849995	11.251631454437153	8.212606318854505	6.667052689983812	40.0
7.817521662161852	7.586729267358287	23.244068125519448	21.077365492555714	6.1649369134999965	50.83270738807331	7.548408972546007	49.616402894796664	9.334172318499995	9.638332171649992	10.784253426898157	9.265488943239795	6.256890910042426	45.0
7.945474491852281	7.62418373523726	24.583038141356667	20.85319771526065	6.016665188187002	50.805470335703134	8.720688448521944	49.62507237134645	9.208771318499998	10.262539730799999	10.541431254521939	10.263775872154891	6.236551786560323	50.0
8.304364368305816	8.2797386515333	25.522609536233347	19.991905719682336	6.451873982986504	51.2528021735593	9.630517745939478	49.75296298182067	9.479036508000004	9.9374794055	10.281070498829692	11.137723760800363	6.124600394320641	55.00000000000001
9.221417056806272	8.440432748117065	27.143018260314534	20.049395555910337	6.408312717040001	51.19324240855672	10.905064047375408	49.76041830814429	9.270037627999997	9.83840895125001	10.107840771662733	12.855850384047596	6.431885730117674	60.00000000000001
9.76280203864082	8.593412244810768	28.813148275689628	19.474205674621203	6.899744075725	51.190583186100106	12.28331459789312	49.8021064450358	9.638256151	9.584205338750001	9.807535816696873	13.410106188058673	6.588991358180614	65.0
10.845014534257555	9.538945217029918	29.987480746651784	19.058846229862013	7.57903116915001	51.71823519552579	13.258188991581537	49.83660398710382	9.863958045499999	10.577269999999984	9.565261266271893	14.410975067584259	7.433700310763868	70.0
11.828024123731698	10.084645914451027	31.348033084930478	18.547007190515103	8.410109365830507	51.88231565227453	14.48800066718313	49.8849429895771	9.414686782500002	10.577269999999984	9.420786409893154	14.712233825438748	8.355338810906797	75.0
12.750386694088997	10.520306297762353	32.910746772971464	18.133320326469242	9.178310041990002	51.84749606836878	16.332500492072988	49.8695018037626	9.902042297499996	10.744418218749992	9.574143029809473	16.396293177033524	9.151093717744738	80.0
13.511218258785341	12.070533026185643	34.40454442848585	18.55429471848697	9.701681752950002	52.04317524597221	17.48427679311037	49.902300456174544	9.687199999999997	11.422730000000016	9.5556605888961	17.300344938488323	10.036308583732655	85.00000000000001
14.24881324341586	12.389269635996182	36.160957748342355	17.665977239563517	10.52795468411	52.19873786033767	19.248093190507827	49.983332952930525	10.149299544999998	11.577269999999984	9.75352714155942	18.459078459109996	10.871223896763194	90.0
