hrsinchphenoage	lin2016blood_99cpgs	yingdamage	yingadaptage	hannum2013blood	dec2023encen100	yingcausage	horvath2018	vidal-bralo2016blood	lin2016blood_3cpgs	zhangenclock2019	phenoage2018	dec2023encen40	prob100
0.2621653202654989	-0.10591955863353553	-1.4221028352561267	-4.756319253093944	0.34912170732292125	-12.07467424419165	0.2823047738370823	-11.06834527860613	0.265649447409103	-0.14085627506305887	-0.3166946345247419	0.3976997955100423	0.04897832694295057	0.0
0.3199431732019635	0.005258230230097749	-1.4130226648270945	-4.396903903576288	0.4136599951809782	-12.186041714963629	0.3652400510184506	-11.088015611654908	0.24582383914741246	-0.11225240249948865	-0.30356232658796567	0.409378223938765	0.15310272087178067	5.0
0.37143274542844984	0.07731730309909757	-1.4191222868517888	-4.335515960106326	0.451402492682504	-12.2398141315479	0.4174647829735111	-11.105671796961824	0.23109206651386272	-0.07061851405697483	-0.2954207089108003	0.38624978948599464	0.2574479031302709	10.0
0.42880991338069707	0.19140333863899506	-1.5410461687872186	-4.0372951065946	0.5024665980330272	-12.344161763541834	0.4552766023449526	-11.123532177043007	0.21066870808364535	-0.05579395819927124	-0.2832248477295438	0.3440751179314414	0.33976665053911215	15.000000000000002
0.4206987268170058	0.20175980855250508	-1.570945569992312	-3.7861522801429164	0.5554148861081065	-12.441518618193236	0.47247305642200665	-11.145937473670278	0.2099082623797872	-0.005666100921797312	-0.27331780485817236	0.35695428534831275	0.41403596477786075	20.0
0.4416110283263872	0.29000925219543483	-1.6978670041127382	-3.6084863482710823	0.5711056161592547	-12.597365008265943	0.4909720221978374	-11.166168361251808	0.16328303027806634	0.011232371721487722	-0.2671387291567173	0.3178090262403799	0.47035965560733517	25.0
0.4366043140264789	0.3427439148191095	-1.8348164122335735	-3.311876675091984	0.5757552011086684	-12.658108424475115	0.4470500560480535	-11.186031983839335	0.1474559483857506	-0.03462809007096079	-0.2585493831172687	0.2641999371211975	0.5185491960319568	30.000000000000004
0.42132731357625175	0.3659243925749446	-1.9998445664541284	-3.160765920657086	0.5833971571674459	-12.815464656652738	0.41199400094195826	-11.198521477963988	0.15583735333838933	0.0356057865445234	-0.24816941669231785	0.11376966852120596	0.5463317634050487	35.0
0.37931043096644235	0.3180389922593434	-2.19054565133362	-2.9529911977025147	0.5723962172013028	-12.956392729220699	0.3521685534392177	-11.218074999187237	0.14360511236237938	0.05945562032952423	-0.254346561820167	0.15360838421880418	0.5674191970467272	40.0
0.3390085514752723	0.35412194956655973	-2.4532614076759196	-2.8726650774932785	0.5646832828939501	-12.982420070234586	0.2566293490396575	-11.236887277405454	0.10204748522890394	-0.0016497599534859297	-0.24446889169677832	0.03321823987049988	0.5781010371767668	45.0
0.30049871108345383	0.3644265010469149	-2.7320239472652865	-2.6001750045931558	0.552540961836326	-13.141974459127761	0.16095263157683992	-11.253335523878617	0.1218144686238094	-0.004914619488950667	-0.2438099821220565	-0.0605478767107428	0.5647494455744426	50.0
0.22196050556806035	0.3209715601466565	-2.983970377414233	-2.573842295287233	0.4999673649542927	-13.215456538844867	0.0551910574681701	-11.273535689949526	0.09666532527916782	0.017177785142120205	-0.24058588079788912	-0.19943431898234754	0.5478957388962831	55.00000000000001
0.13711909961485347	0.2385935968777999	-3.371660289325427	-2.4777111087653356	0.47116359782973416	-13.289254224717311	-0.12830716409732745	-11.29492146134514	0.0582819875498769	0.008884961983664397	-0.24462623169418807	-0.28041937305119125	0.5116423796066922	60.00000000000001
0.08105887015093205	0.16854917884507437	-3.7056359243552652	-2.2656532471402775	0.42793605072123	-13.414591359230215	-0.27456549067940705	-11.313343170514948	0.057911423625375935	0.03326424420633467	-0.2513001450407464	-0.4570781172002356	0.4506954921380433	65.0
-0.04604890234161019	0.10040794461065738	-4.123783257961636	-2.169611136902608	0.3657012693323445	-13.547120985961255	-0.4387154883621369	-11.333451975052961	0.05229090097749267	-0.03401715967745789	-0.24853615712567634	-0.5953505206307761	0.3941243787694241	70.0
-0.1984375279431949	0.008373556021377015	-4.4943069424698034	-2.0686146246329185	0.28682401666086377	-13.62395544196485	-0.6648116568613422	-11.351959509020642	0.03979066099542905	-0.06616365463790119	-0.26014624337893877	-0.7187381449062311	0.316300439263826	75.0
-0.33848022053033033	-0.08770790994855404	-4.869163224535811	-1.991907094810192	0.2080145962511728	-13.7343182309944	-0.9051235566868607	-11.370763485091695	0.02646319921719409	-0.05290801857991134	-0.2670810525608349	-0.9190994036524989	0.22136821735427736	80.0
-0.44655236566386436	-0.23842884873677717	-5.417727947347071	-1.953056675484206	0.11101989603115181	-13.823352103221538	-1.1499898444143595	-11.390099198592491	0.038485459967875446	-0.15290101347336016	-0.27640378346956984	-1.1349067444910816	0.13052012664727497	85.00000000000001
-0.6132505367362895	-0.3237146839251117	-5.947833559200185	-1.8032596915978867	0.0449966573397127	-13.928305030244164	-1.4131367720176145	-11.407593327627293	-0.003327758685881088	-0.1632936492253112	-0.28456581203968834	-1.302249792522661	0.011149622999068742	90.0
